domain	phylum	class	order	family	genus	otu.id
OTU_161	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_161
OTU_163	d:Bacteria	p:Bacteroidota	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Pedobacter	OTU_163
OTU_166	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_166
OTU_169	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	g:Novosphingobium	OTU_169
OTU_170	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Bradyrhizobiaceae	g:Bradyrhizobium	OTU_170
OTU_173	d:Bacteria	NA	NA	NA	NA	NA	OTU_173
OTU_174	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingobium	OTU_174
OTU_178	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Propionibacteriales	f:Propionibacteriaceae	g:Cutibacterium	OTU_178
OTU_183	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Nitrosomonadales	f:Sterolibacteriaceae	g:Methyloversatilis	OTU_183
OTU_185	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	g:Paenarthrobacter	OTU_185
OTU_189	d:Bacteria	NA	NA	NA	NA	NA	OTU_189
OTU_196	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	OTU_196
OTU_198	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Bacillaceae	g:Neobacillus	OTU_198
OTU_203	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Taibaiella	OTU_203
OTU_206	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Bacillaceae	NA	OTU_206
OTU_209	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Flavobacterium	OTU_209
OTU_210	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Asticcacaulis	OTU_210
OTU_211	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp16	o:Acidobacteria_Gp16_incertae_sedis	f:Acidobacteria_Gp16_incertae_sedis	g:Gp16	OTU_211
OTU_212	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Neisseriales	f:Chromobacteriaceae	g:Vogesella	OTU_212
OTU_213	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_213
