ac1	ac10	ac11	ac12	ac13	ac14	ac15	ac16	ac17	ac19	ac2	ac20	ac21	ac22	ac23	ac24	ac25	ac26	ac27	ac28	ac29	ac30	ac31	ac32	ac33	ac34	ac35	ac36	ac37	ac38	ac39	ac41	ac42	ac43	ac44	ac45	ac46	ac48	ac49	ac5	ac50	ac51	ac52	ac53	ac54	ac56	ac58	ac59	ac61	ac62	ac63	ac64	ac65	ac66	ac7	ac8	ac9	cdz1	cdz10	cdz11	cdz12	cdz13	cdz14	cdz15	cdz16	cdz2	cdz3	cdz33	cdz34	cdz35	cdz36	cdz37	cdz38	cdz39	cdz40	cdz5	cdz57	cdz58	cdz59	cdz6	cdz60	cdz61	cdz62	cdz63	cdz64	cdz82	cdz9	csf1	csf101	csf102	csf106	csf109	csf110	csf114	csf115	csf116	csf117	csf118	csf12	csf122	csf126	csf127	csf128	csf130	csf131	csf132	csf134	csf135	csf14	csf142	csf143	csf144	csf148	csf149	csf15	csf152	csf154	csf155	csf158	csf16	csf160	csf163	csf164	csf166	csf167	csf168	csf171	csf173	csf174	csf178	csf180	csf181	csf186	csf187	csf192	csf193	csf195	csf197	csf199	csf2	csf201	csf203	csf205	csf208	csf211	csf213	csf215	csf217	csf22	csf226	csf227	csf228	csf229	csf23	csf232	csf233	csf239	csf240	csf242	csf245	csf246	csf253	csf254	csf256	csf258	csf26	csf261	csf263	csf264	csf265	csf269	csf27	csf274	csf276	csf278	csf279	csf28	csf280	csf281	csf283	csf284	csf287	csf290	csf291	csf292	csf293	csf296	csf297	csf3	csf33	csf34	csf35	csf37	csf41	csf43	csf44	csf47	csf5	csf50	csf54	csf57	csf58	csf59	csf61	csf62	csf64	csf68	csf69	csf72	csf73	csf75	csf79	csf81	csf82	csf83	csf84	csf85	csf91	csf93	csf95	csf98	csf99	hm1	hm10	hm11	hm12	hm13	hm14	hm15	hm16	hm17	hm19	hm20	hm21	hm22	hm24	hm25	hm26	hm27	hm28	hm29	hm3	hm30	hm31	hm33	hm34	hm35	hm36	hm37	hm38	hm39	hm4	hm40	hm41	hm42	hm43	hm44	hm45	hm46	hm47	hm48	hm49	hm5	hm50	hm51	hm52	hm53	hm54	hm55	hm56	hm57	hm58	hm59	hm6	hm61	hm62	hm63	hm64	hm66	hm8	hm9	syn2
OTU_56	14	693	6	45	19	48	25	45	11	12	21	24	17	31	5	598	12	17	44	16	256	18	3	6	41	26	17	15	30	6	33	24	16	36	52	6	12	28	23	5	15	28	17	17	17	25	25	19	8	18	303	154	16	4	11	10	5	1	2	21	738	12	9	2	2760	0	3	15	38	20	6	7	43	12	18	3	13	7	13	1	4	41	5	13	12	48	24	6	169	50	52	23	60	29	25	16	16	11	4	3	39	2	1	2	2	71	2	6	8	11	38	19	91	105	9	4	2	4	7	2	10	19	7	29	11	23	36	117	20	53	14	51	20	25	32	15	90	6	44	22	12	4	7	3	26	12	6	11	4	3	2	0	2	8	6	33	14	2	13	29	11	11	39	59	23	6	3	2	2	4	10	13	4	0	10	0	12	4	6	13	7	13	5	10	130	25	5	21	2	4	15	26	15	108	26	15	3	14	27	83	68	270	23	74	14	14	7	42	10	12	3	5	25	45	30	104	223	19	16	26	89	14	8	14	14	13	3	5	11	7	5	7	12	26	11	72	20	26	166	11	18	11	20	10	9	17	27	19	20	4	14	10	7	31	11	10	21	9	77	14	10	61	370	17	131	20	38	12	0	35	14	23	19	4	19	9	23	20	12	14	22	1
OTU_59	0	14	0	98	1	517	16	19	2	0	0	0	0	41	19	8	0	2	14	2	19	2	0	2	2	10	1	0	0	0	6	1	0	5	6	1	1	6	0	0	9	0	1	0	1	2	1	20	0	0	7	5	0	2	3	1	0	1	18	113	40	159	22	14	21	3	0	58	140	9	13	0	1	9	1	0	6	201	3045	29	16	58	21	1	43	6	40	1	403	30	9	4	59	17	65	0	2	5	0	2	23	9	7	49	5	384	1	1	29	16	9	1	770	743	0	2	2	0	1	0	2	4	118	57	1	4	1781	2626	190	359	33	4	1	0	0	3	21	0	0	1	0	0	2	34	6	2	3	0	0	1	0	0	1	4	0	3	29	12	0	1	0	0	226	73	29	3	7	0	1	9	2	4	0	0	0	0	7	5	8	0	10	7	2	0	168	1	1	34	0	51	45	242	64	17	27	6	10	0	432	495	372	2071	126	95	5	2	3	56	27	146	0	61	12	55	6	376	22	6	8	2	1	5	0	1	0	0	0	1	0	0	0	0	0	15	0	25	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	35	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0
OTU_63	0	4867	1	66	6	10	42	151	26	7	0	2	30	1806	6	2372	14	1	7	13	2070	11	4	246	6	8	1	10	0	0	5	4	1	10	62	0	2	3	0	0	14	4	19	8	15	1	0	29	3	2	1313	780	10	51	24	102	3	0	0	137	8	4	0	0	2	0	4	41	105	4	13	0	0	1	0	0	0	12	0	0	1	6	3	0	6	0	10	0	0	71	3	0	0	0	1	0	1	5	0	0	0	0	0	0	0	7	0	3	0	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	2	8	0	0	0	0	2	3	0	0	0	0	1	0	1	7	6	1	2	4	0	0	4	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	119	1	26	0	2	0	0	1	0	10	0	0	0	0	2	2	11	0	1	0	0	0	6	4	0	85	2	0	57	15	2	42	5	33	2	0	99	1	12	0	4	0	0	0	0	0	0	0	0
OTU_64	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	75	0	0	0	0	0	45	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	17	0	6	4	4	2	0	8	31	2	4	86	1	28	235	0	0	0	2	1	321	526	183	25	35	0	5	0	0	1	0	0	0	0	3	0	1	14	4	3	32	12	59	274	54	5	0	0	0	0	0	1	0	1	0	202	6	95	360	0	5	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	106	0	0	1	0	0	0	0	2	114	0	12	0	0	0	0	0	0	0	3	1	1	0	28	36	438	118	0	0	0	0	0	5	132	31	44	7	676	36	14	16	20	0	0	0	0	1	1	0	0	0	4815	31	27	2427	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OTU_66	0	1	0	4	0	2	0	0	3	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	110	4	34	0	1	0	0	0	0	0	1	1	0	0	2	44	3	0	0	0	0	1	0	36	0	0	0	1	0	0	0	3	17	23	2	0	23	29	3	76	43	0	4	4	73	55	398	5	55	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	11	0	79	0	2	0	0	5	955	365	76	0	9	2	0	0	8	0	0	0	1	0	0	0	2	0	0	0	0	0	18	25	1	5	0	33	19	529	13	21	13	4	33	0	10	3	7	4	2	5	0	0	0	0	0	0	0	0	3	12	15	20	3914	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_67	1	11	1	41	9	71	39	35	27	5	4	0	6	22	22	28	5	41	31	7	11	65	8	0	19	4	14	207	0	16	5	2	8	3	7	116	3	7	15	1	12	8	0	0	3	1	17	4	77	1	7	3	6	8	11	10	8	0	0	2	44	1	0	0	3	0	0	8	3	1	1	0	0	0	2	0	7	9	583	0	0	9	5	7	1	2	1	0	68	12	1	1	15	0	2	1	2	1	1	105	34	3	1	3	2	2	1	1	0	2	11	4	0	3	0	9	9	4	3	0	22	0	0	0	6	0	114	36	8	55	11	54	285	63	180	5	10	0	10	2	1	0	1	6	5	2	67	12	0	0	3	2	3	0	0	0	2	2	12	1	13	0	0	0	11	0	0	0	0	2	1	0	0	3	0	1	4	0	3783	2	4	14	9	0	3	1	0	1	0	60	30	436	40	2	7	2	3	0	4	0	2	1	2	79	68	71	59	3236	0	67	1	2	1	11	7	40	10	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	16	2	8	0	2	1	1	2	0	0	2	1	0	4	1	0	1	1	2	0	0	0	0	1	0	27	0	0	0	15	0	0	1	4	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1
OTU_73	0	0	0	0	0	1	0	0	3	0	0	0	0	14	39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	266	16	534	192	89	1	0	1	0	2030	1297	395	0	86	6	2743	11	0	0	0	0	55	290	424	10	202	4	14	6	2	5	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	206	17	30	4	9	3	3	1	170	311	656	56	399	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	80	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	2	2	0	0	0	2	1	3	0	0	1	12	3	0	0	7	1	8	1	5	5	5	0	16	1	0	0	0	4	7	0	10	69	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_74	0	37	0	10	0	1	14	14	1	0	1	0	3	6	15	6	5	1	7	0	4	22	0	0	1	1	0	0	0	0	22	12	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	7	0	0	4	3	0	3	0	0	0	13	0	0	5	0	16	0	7	17	13	1	1	2	0	0	8	0	3	11	6	0	4	10	159	30	0	0	0	0	0	0	248	3	1	0	8	0	6	0	0	1	0	3	96	3	2	9	0	16	0	0	0	1	6	27	0	0	0	0	0	0	0	0	0	0	3	0	0	0	36	249	14	0	1	12	2	0	2	0	0	0	2	1	0	0	0	0	6	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	0	3	1	2	5	217	84	24	142	0	73	328	710	47	133	0	0	2	0	0	0	2	0	0	1	25	0	91	2	0	2	9	30	0	0	0	0	0	0	2	0	1	0	0	0	0	0	10	0	1	0	0	0	0	4	0	0	0	1	32	0	0	0	0	0	0	0	0	7	0	1	0	0	0	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	77914
OTU_77	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	9	0	1	3	5919	0	0	0	5	0	9	0	0	0	0	0	0	33	4	1	2	2	0	0	0	0	0	0	26	19	84	0	57	0	0	0	1	1	0	0	0	2	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	5	7	3	0	0	0	0	35	6	3	6	10	0	3	2	0	94	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	40	4	0	1	2	0	6	0	2	6	0	26	1	18	6	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	38	96	36	1944	5	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU_81	0	33	0	1	1	15	12	5	69	0	0	0	75	4	0	17	0	0	7	0	43	4	0	3	0	15	0	0	0	0	1	2	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	3	0	4	0	0	0	4	4	0	2	5	5	1	0	1	0	2	0	0	0	3	0	0	1	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	27663
